hotel,district,season,sentiment,entity_label,entity_text,count
Афоня,Нижегородский,Лето,POSITIVE,LOC,нижний новогород,1
Афоня,Нижегородский,Лето,POSITIVE,PER,спар,1
Афоня,Нижегородский,Осень,NEUTRAL,PER,недалеко магнит,1
Афоня,Нижегородский,Осень,NEUTRAL,PER,пятерочка,1
Афоня,Нижегородский,Осень,POSITIVE,LOC,афоня,1
Афоня,Нижегородский,Осень,POSITIVE,LOC,казань,1
Афоня,Нижегородский,Осень,POSITIVE,LOC,нижний н,1
Байка,Канавинский,Зима,POSITIVE,LOC,нижний новгород,2
Байка,Канавинский,Зима,POSITIVE,LOC,нижний новогороде,1
Байка,Канавинский,Зима,POSITIVE,ORG,байка,1
Байка,Канавинский,Зима,POSITIVE,ORG,рекомендую,1
Байка,Канавинский,Зима,POSITIVE,PER,байка,1
Байка,Канавинский,Осень,POSITIVE,LOC,москва,1
Бонджорно,Нижегородский,Весна,NEGATIVE,PER,тихо,1
Бонджорно,Нижегородский,Весна,POSITIVE,LOC,кстов,1
Бонджорно,Нижегородский,Зима,NEUTRAL,LOC,бонжороно,1
Бонджорно,Нижегородский,Зима,NEUTRAL,LOC,кстово,2
Бонджорно,Нижегородский,Зима,POSITIVE,LOC,кстово небольшой,1
Ботаника Лофт,Канавинский,Зима,NEGATIVE,LOC,очень,1
Ботаника Лофт,Канавинский,Лето,NEUTRAL,LOC,кремль (нн),2
Ботаника Лофт,Канавинский,Лето,NEUTRAL,LOC,нижний 2,1
Ботаника Лофт,Канавинский,Лето,NEUTRAL,LOC,стрелка (нн),1
Ботаника Лофт,Канавинский,Лето,NEUTRAL,ORG,московский вокзал,1
Ботаника Лофт,Канавинский,Лето,NEUTRAL,PER,стандарт,1
Ботаника Лофт,Канавинский,Лето,NEUTRAL,PER,чистота,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,LOC,кирпич,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,LOC,кремль (нн),2
Ботаника Лофт,Канавинский,Лето,POSITIVE,LOC,московский ж.д,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,LOC,нижегородский ярмарка,2
Ботаника Лофт,Канавинский,Лето,POSITIVE,LOC,нижний новгород,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,LOC,стрелка (нн),2
Ботаника Лофт,Канавинский,Лето,POSITIVE,LOC,ярмарка,2
Ботаника Лофт,Канавинский,Лето,POSITIVE,ORG,московский вокзал,2
Ботаника Лофт,Канавинский,Лето,POSITIVE,PER,александр невский,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,PER,ботаник лофт,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,PER,номер,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,PER,номера,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,PER,санузел,1
Ботаника Лофт,Канавинский,Лето,POSITIVE,PER,собор,1
Ботаника Лофт,Канавинский,Осень,NEGATIVE,ORG,московский вокзал,1
Ботаника Лофт,Канавинский,Осень,NEUTRAL,LOC,нижегородский ярмарка,1
Ботаника Лофт,Канавинский,Осень,NEUTRAL,LOC,стрелка (нн),1
Ботаника Лофт,Канавинский,Осень,NEUTRAL,ORG,александро невский собор,1
Ботаника Лофт,Канавинский,Осень,NEUTRAL,ORG,московский вокзал,2
Ботаника Лофт,Канавинский,Осень,NEUTRAL,PER,плюсы,1
