hotel,district,season,sentiment,topic,reviews_count
Golden House,Московский,Зима,POSITIVE,Еда,1
Golden House,Московский,Зима,POSITIVE,Сервис,3
Golden House,Московский,Зима,POSITIVE,Чистота,1
Golden House,Московский,Лето,NEGATIVE,Сервис,1
Golden House,Московский,Лето,NEGATIVE,Цена,1
Golden House,Московский,Лето,NEGATIVE,Чистота,2
Golden House,Московский,Лето,NEUTRAL,Сервис,1
Golden House,Московский,Лето,NEUTRAL,Чистота,2
Golden House,Московский,Лето,POSITIVE,Сервис,10
Golden House,Московский,Лето,POSITIVE,Чистота,1
Golden House,Московский,Осень,NEGATIVE,Цена,1
Golden House,Московский,Осень,NEUTRAL,Чистота,2
Golden House,Московский,Осень,POSITIVE,Еда,1
Golden House,Московский,Осень,POSITIVE,Сервис,1
Golden House,Московский,Осень,POSITIVE,Чистота,1
Gorky,Советский,Весна,NEUTRAL,Комфорт/шум,1
Gorky,Советский,Весна,NEUTRAL,Расположение,1
Gorky,Советский,Весна,NEUTRAL,Сервис,1
Gorky,Советский,Весна,POSITIVE,Комфорт/шум,1
Gorky,Советский,Весна,POSITIVE,Сервис,4
Gorky,Советский,Зима,NEUTRAL,Сервис,2
Gorky,Советский,Зима,POSITIVE,Расположение,1
Gorky,Советский,Зима,POSITIVE,Сервис,1
Gorky,Советский,Зима,POSITIVE,Чистота,5
Gorky,Советский,Лето,NEGATIVE,Сервис,1
Gorky,Советский,Лето,NEUTRAL,Еда,1
Gorky,Советский,Лето,NEUTRAL,Расположение,1
Gorky,Советский,Лето,NEUTRAL,Сервис,1
Gorky,Советский,Лето,NEUTRAL,Чистота,2
Gorky,Советский,Лето,POSITIVE,Расположение,1
Gorky,Советский,Лето,POSITIVE,Сервис,2
Gorky,Советский,Лето,POSITIVE,Чистота,5
Gorky,Советский,Осень,NEGATIVE,Комфорт/шум,1
Gorky,Советский,Осень,NEUTRAL,Сервис,2
Gorky,Советский,Осень,NEUTRAL,Чистота,4
Gorky,Советский,Осень,POSITIVE,Расположение,1
Gorky,Советский,Осень,POSITIVE,Сервис,2
Gorky,Советский,Осень,POSITIVE,Чистота,2
Green Tower Homes,Советский,Осень,POSITIVE,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEGATIVE,Расположение,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEGATIVE,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEUTRAL,Расположение,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEUTRAL,Чистота,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,Сервис,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,Чистота,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,Еда,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,Расположение,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,Цена,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEUTRAL,Сервис,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEUTRAL,Цена,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEUTRAL,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Еда,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Расположение,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Сервис,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEGATIVE,Комфорт/шум,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEGATIVE,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEUTRAL,Еда,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEUTRAL,Сервис,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEUTRAL,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Еда,7
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Комфорт/шум,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Расположение,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Сервис,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Чистота,2
HomeHotel,Ленинский,Весна,NEUTRAL,Расположение,1
HomeHotel,Ленинский,Весна,POSITIVE,Комфорт/шум,1
HomeHotel,Ленинский,Весна,POSITIVE,Чистота,1
HomeHotel,Ленинский,Лето,NEUTRAL,Чистота,1
HomeHotel,Ленинский,Лето,POSITIVE,Чистота,1
HomeHotel,Ленинский,Осень,POSITIVE,Комфорт/шум,2
HomeHotel,Ленинский,Осень,POSITIVE,Расположение,1
HomeHotel,Ленинский,Осень,POSITIVE,Сервис,2
HomeHotel Бетанкура 29,Нижегородский,Лето,NEUTRAL,Цена,1
HomeHotel Бетанкура 29,Нижегородский,Лето,NEUTRAL,Чистота,1
HomeHotel Бетанкура 29,Нижегородский,Лето,POSITIVE,Расположение,2
HomeHotel Бетанкура 29,Нижегородский,Лето,POSITIVE,Чистота,1
HomeHotel Бетанкура 29,Нижегородский,Осень,POSITIVE,Комфорт/шум,1
HomeHotel Бетанкура 29,Нижегородский,Осень,POSITIVE,Расположение,1
HomeHotel Бетанкура 29,Нижегородский,Осень,POSITIVE,Сервис,1
HomeHotel Бетанкура 29,Нижегородский,Осень,POSITIVE,Чистота,1
HomeHotel на Акимова 22Б,Советский,Зима,NEUTRAL,Цена,1
HomeHotel на Акимова 22Б,Советский,Осень,POSITIVE,Сервис,2
Les&Park,Приокский,Весна,POSITIVE,Комфорт/шум,1
Les&Park,Приокский,Весна,POSITIVE,Расположение,1
Les&Park,Приокский,Весна,POSITIVE,Чистота,1
Les&Park,Приокский,Зима,NEUTRAL,Сервис,1
Les&Park,Приокский,Лето,NEGATIVE,Расположение,2
Les&Park,Приокский,Лето,NEGATIVE,Сервис,1
Les&Park,Приокский,Лето,NEGATIVE,Цена,1
Les&Park,Приокский,Лето,NEUTRAL,Еда,1
Les&Park,Приокский,Лето,NEUTRAL,Расположение,2
Les&Park,Приокский,Лето,NEUTRAL,Сервис,3
Les&Park,Приокский,Лето,NEUTRAL,Чистота,1
Les&Park,Приокский,Лето,POSITIVE,Комфорт/шум,3
Les&Park,Приокский,Лето,POSITIVE,Расположение,4
Les&Park,Приокский,Лето,POSITIVE,Сервис,3
Les&Park,Приокский,Лето,POSITIVE,Чистота,2
Les&Park,Приокский,Осень,NEGATIVE,Комфорт/шум,1
Les&Park,Приокский,Осень,NEGATIVE,Чистота,2
Les&Park,Приокский,Осень,NEUTRAL,Расположение,1
Les&Park,Приокский,Осень,NEUTRAL,Чистота,1
Les&Park,Приокский,Осень,POSITIVE,Расположение,1
Les&Park,Приокский,Осень,POSITIVE,Сервис,4
Les&Park,Приокский,Осень,POSITIVE,Цена,1
Les&Park,Приокский,Осень,POSITIVE,Чистота,2
Marins Нижний Новгород,Канавинский,Зима,NEGATIVE,Чистота,1
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Еда,1
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Сервис,5
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Чистота,1
Marins Нижний Новгород,Канавинский,Лето,NEGATIVE,Чистота,2
Marins Нижний Новгород,Канавинский,Лето,NEUTRAL,Расположение,2
Marins Нижний Новгород,Канавинский,Лето,NEUTRAL,Сервис,2
Marins Нижний Новгород,Канавинский,Лето,NEUTRAL,Чистота,2
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Еда,1
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Расположение,1
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Сервис,3
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Чистота,2
Marins Нижний Новгород,Канавинский,Осень,NEGATIVE,Чистота,1
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Расположение,2
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Сервис,2
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Цена,2
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Чистота,1
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Еда,1
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Расположение,4
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Сервис,3
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Чистота,2
SunLight,Нижегородский,Лето,POSITIVE,Еда,2
SunLight,Нижегородский,Лето,POSITIVE,Сервис,2
SunLight,Нижегородский,Лето,POSITIVE,Чистота,1
SunLight,Нижегородский,Осень,NEUTRAL,Чистота,1
SunLight,Нижегородский,Осень,POSITIVE,Комфорт/шум,1
SunLight,Нижегородский,Осень,POSITIVE,Чистота,1
SunSet,Советский,Лето,NEGATIVE,Чистота,1
SunSet,Советский,Лето,POSITIVE,Чистота,1
SunSet,Советский,Осень,POSITIVE,Расположение,1
SunSet,Советский,Осень,POSITIVE,Чистота,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Зима,POSITIVE,Расположение,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Зима,POSITIVE,Сервис,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Зима,POSITIVE,Чистота,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,NEGATIVE,Сервис,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,NEGATIVE,Цена,1
