season,sentiment,lemma,count
Весна,neutral,футбольный,1
Весна,neutral,команда,1
Весна,neutral,организатор,1
Весна,neutral,павел,1
Весна,neutral,лачугин,1
Весна,neutral,вежливый,1
Весна,neutral,знакомство,1
Весна,neutral,база,1
Весна,neutral,часовой,1
Весна,neutral,ожидание,1
Весна,neutral,дождь,1
Весна,neutral,интернет,1
Весна,neutral,небольшой,1
Весна,neutral,тропинка,1
Весна,neutral,доска,1
Весна,neutral,многий,1
Весна,neutral,вид,1
Весна,neutral,спорт,1
Весна,neutral,состояние,1
Весна,neutral,отличие,1
Весна,neutral,раздевалка,1
Весна,neutral,описание,1
Весна,neutral,смехота,1
Весна,neutral,сад,1
Весна,neutral,мужчина,1
Весна,neutral,вопрос,1
Весна,neutral,невозможно,1
Весна,neutral,неплохо,1
Весна,neutral,базовый,1
Весна,neutral,удобство,1
Весна,neutral,кстово,1
Весна,neutral,фактически,1
Весна,neutral,пригород,1
Весна,neutral,большинство,1
Весна,neutral,достопримечательность,1
Весна,neutral,работа,1
Весна,neutral,неделя,1
Весна,neutral,больший,1
Весна,neutral,местоположение,1
Весна,neutral,удачный,1
Весна,neutral,уборка,1
Весна,neutral,мусор,1
Весна,neutral,пыль,1
Весна,neutral,грязь,1
Весна,neutral,зеркало,1
Весна,neutral,отзыв,1
Весна,neutral,куда-то,1
Весна,neutral,дистанционный,1
Весна,neutral,гораздо,1
Весна,neutral,похоже,1
Весна,neutral,хостел,1
Весна,neutral,крошечный,1
Весна,neutral,представление,1
Весна,neutral,условие,1
Весна,neutral,стандарт,1
Весна,neutral,экстра,1
Весна,neutral,класс,1
Весна,neutral,фанера,1
Весна,neutral,леруа,1
Весна,neutral,рубль,1
Весна,neutral,вовсе,1
Весна,neutral,берухо,1
Весна,neutral,действительно,1
Весна,neutral,убитый,1
Весна,neutral,неплохой,1
Весна,neutral,отдельный,1
Весна,neutral,парковочный,1
Весна,neutral,грустный,1
Весна,neutral,банальный,1
Весна,neutral,попсовый,1
Весна,neutral,музыка,1
Весна,neutral,живой,1
Весна,neutral,вокал,1
Весна,neutral,репертуар,1
Весна,neutral,вкус,1
Весна,neutral,люля,1
Весна,neutral,точно,1
Весна,neutral,хачапури,1
Весна,neutral,по-аджарски,1
Весна,neutral,оснащение,1
Весна,neutral,прогорклый,1
Весна,neutral,масло,1
Весна,neutral,яйцо,1
Весна,neutral,всмятку,1
Весна,neutral,специально,1
Весна,neutral,вкрутую,1
Весна,neutral,блин,1
Весна,neutral,белые,1
Весна,neutral,полохо,1
Весна,neutral,отлично,1
Весна,neutral,холодно,1
Весна,neutral,обогрев,1
Весна,neutral,февраль,1
Весна,neutral,приянтый,1
Весна,neutral,тряпка,1
Весна,neutral,раковина,1
Весна,neutral,стол,1
Весна,neutral,чистота,1
Весна,neutral,куллера,1
Весна,neutral,норма,1
Весна,neutral,тонкий,1
Весна,neutral,лишний,1
Весна,neutral,весьма,1
Весна,neutral,громко,1
Весна,neutral,агрессивно,1
Весна,neutral,пьяный,1
Весна,neutral,парень,1
Весна,neutral,девушка,1
Весна,neutral,падеж,1
Весна,neutral,неоднозначный,1
Весна,neutral,интерьер,1
Весна,neutral,своеобразный,1
Весна,neutral,задумка,1
Весна,neutral,дизайнер,1
Весна,neutral,обходительный,1
Весна,neutral,столовый,1
Весна,neutral,приём,1
Весна,neutral,пища,1
Весна,neutral,дешёвый,1
Весна,neutral,намного,1
Весна,neutral,миниотель,1
Весна,neutral,необходимый,1
Весна,neutral,придирка,1
Весна,neutral,порядок,1
Весна,neutral,элементарный,1
Весна,neutral,вещь,1
Весна,neutral,полочка,1
Весна,neutral,держатель,1
Весна,neutral,крепление,1
Весна,neutral,дыра,1
Весна,neutral,фото,1
Весна,neutral,обычный,1
Весна,neutral,мебель,1
Весна,neutral,косметика,1
Весна,neutral,критично,1
Весна,neutral,озон,1
Весна,neutral,бристоль,1
Весна,neutral,вполне,1
Весна,neutral,длительный,1
Весна,neutral,недостаток,1
Весна,neutral,комфорт,1
Весна,neutral,разетка,1
Весна,neutral,угол,1
Весна,neutral,пример,1
Весна,neutral,слабый,1
Весна,neutral,давление,1
Весна,neutral,огромный,1
Весна,neutral,классный,1
Весна,neutral,завтрок,1
Весна,neutral,вкусный,1
Весна,neutral,центр,1
Весна,neutral,автомобиль,1
Весна,neutral,пеший,1
Весна,neutral,доступность,1
Весна,neutral,пятёрочка,1
Весна,neutral,деревенский,1
Весна,positive,чистый,103
Весна,positive,персонал,103
Весна,positive,хороший,96
Весна,positive,место,80
Весна,positive,завтрак,77
Весна,positive,отличный,76
Весна,positive,чисто,74
Весна,positive,уютный,60
Весна,positive,рядом,55
Весна,positive,удобный,47
Весна,positive,вежливый,42
Весна,positive,вкусный,42
Весна,positive,центр,42
Весна,positive,город,41
Весна,positive,приветливый,41
Весна,positive,расположение,39
Весна,positive,чайник,37
Весна,positive,приятный,36
Весна,positive,кровать,36
Весна,positive,необходимый,35
Весна,positive,больший,34
Весна,positive,цена,33
Весна,positive,весь,32
Весна,positive,полотенце,28
Весна,positive,этаж,28
Весна,positive,окно,28
Весна,positive,ночь,27
Весна,positive,бельё,27
Весна,positive,парковка,27
Весна,positive,холодильник,25
Весна,positive,минута,25
Весна,positive,минус,24
Весна,positive,комфортный,24
Весна,positive,большой,23
Весна,positive,небольшой,23
Весна,positive,нижний,23
Весна,positive,администратор,22
Весна,positive,комната,21
Весна,positive,день,21
Весна,positive,тихо,21
Весна,positive,прекрасный,21
Весна,positive,вода,21
Весна,positive,свой,20
Весна,positive,кухня,19
Весна,positive,сауна,19
Весна,positive,бассейн,19
Весна,positive,просторный,18
Весна,positive,удобно,18
Весна,positive,телевизор,17
Весна,positive,тихий,17
Весна,positive,новгород,17
Весна,positive,самый,17
Весна,positive,красивый,17
Весна,positive,быстро,16
Весна,positive,отзывчивый,16
Весна,positive,человек,16
Весна,positive,первый,16
Весна,positive,отдых,16
Весна,positive,приятно,16
Весна,positive,достаточно,15
Весна,positive,обслуживание,15
Весна,positive,время,15
Весна,positive,достойный,14
Весна,positive,постельный,14
Весна,positive,доброжелательный,14
Весна,positive,замечательный,14
Весна,positive,остановка,14
Весна,positive,праздник,14
Весна,positive,новый,14
Весна,positive,кремль,14
Весна,positive,кофе,14
Весна,positive,улица,14
Весна,positive,кондиционер,13
Весна,positive,свежий,13
Весна,positive,каждый,13
Весна,positive,чистота,13
Весна,positive,маленький,13
Весна,positive,плюс,13
Весна,positive,вкусно,13
Весна,positive,территория,13
Весна,positive,шампунь,13
Весна,positive,машина,13
Весна,positive,душа,13
Весна,positive,сутки,13
Весна,positive,ребёнок,12
Весна,positive,вполне,12
Весна,positive,тапочки,12
Весна,positive,тепло,12
Весна,positive,ресторан,12
Весна,positive,квартира,12
Весна,positive,магазин,12
Весна,positive,отдельный,12
Весна,positive,девушка,11
Весна,positive,ресепшен,11
Весна,positive,питание,11
Весна,positive,кафе,11
Весна,positive,супер,11
Весна,positive,данный,11
Весна,positive,атмосфера,11
Весна,positive,вид,11
Весна,positive,шикарный,11
Весна,positive,звезда,11
Весна,positive,проживание,11
